reci recn reclat recscale
 0.492 27 101.925 0.007
 0.504 27 101.875 0.007
 0.516 28 101.825 0.007
 0.528 28 101.8 0.007
 0.54 28 101.75 0.007
 0.552 28 101.725 0.007
 0.564 9 101.675 0.007
 0.576 7 101.65 0.007
 0.588 7 101.625 0.007
 0.6 6 101.6 0.007
 0 0 600 0.008
 0.012 0 600 0.008
 0.024 0 600 0.008
 0.036 0 600 0.008
 0.048 4 269.275 0.008
 0.06 5 239.25 0.008
 0.072 7 220.7 0.008
 0.084 8 207.725 0.008
 0.096 9 198 0.008
 0.108 10 190.375 0.008
 0.12 11 184.225 0.008
 0.132 12 179.125 0.008
 0.144 13 174.8 0.008
 0.156 14 171.075 0.008
 0.168 15 167.825 0.008
 0.18 16 164.975 0.008
 0.192 16 162.425 0.008
 0.204 17 160.125 0.008
 0.216 18 158.05 0.008
 0.228 18 156.15 0.008
 0.24 19 154.4 0.008
 0.252 19 152.8 0.008
 0.264 20 151.325 0.008
 0.276 20 149.925 0.008
 0.288 21 148.65 0.008
 0.3 21 147.425 0.008
 0.312 22 146.275 0.008
 0.324 22 145.2 0.008
 0.336 22 144.175 0.008
 0.348 23 143.225 0.008
 0.36 23 142.3 0.008
 0.372 23 141.425 0.008
 0.384 24 140.625 0.008
 0.396 24 139.85 0.008
 0.408 24 139.1 0.008
 0.42 25 138.425 0.008
 0.432 25 137.825 0.008
 0.444 26 102.475 0.008
 0.456 26 102.25 0.008
 0.468 27 102.125 0.008
 0.48 27 102.05 0.008
 0.492 27 101.975 0.008
 0.504 27 101.925 0.008
 0.516 28 101.875 0.008
 0.528 28 101.825 0.008
 0.54 28 101.775 0.008
 0.552 28 101.725 0.008
 0.564 9 101.7 0.008
 0.576 7 101.65 0.008
 0.588 7 101.625 0.008
 0.6 6 101.6 0.008
 0 0 600 0.009
 0.012 0 600 0.009
 0.024 0 600 0.009
 0.036 0 600 0.009
 0.048 4 278.95 0.009
 0.06 5 247.5 0.009
 0.072 6 228 0.009
 0.084 8 214.325 0.009
 0.096 9 204.075 0.009
 0.108 10 196.05 0.009
 0.12 11 189.55 0.009
 0.132 12 184.175 0.009
 0.144 13 179.625 0.009
 0.156 14 175.7 0.009
 0.168 15 172.3 0.009
 0.18 15 169.275 0.009
 0.192 16 166.6 0.009
 0.204 17 164.2 0.009
 0.216 17 162.025 0.009
 0.228 18 160.05 0.009
 0.24 18 158.225 0.009
 0.252 19 156.575 0.009
 0.264 19 155.025 0.009
 0.276 20 153.575 0.009
 0.288 20 152.225 0.009
 0.3 21 150.975 0.009
 0.312 21 149.775 0.009
 0.324 22 148.675 0.009
 0.336 22 147.6 0.009
 0.348 22 146.6 0.009
 0.36 23 145.65 0.009
 0.372 23 144.75 0.009
 0.384 24 143.9 0.009
 0.396 24 143.1 0.009
 0.408 24 142.325 0.009
 0.42 25 141.575 0.009
 0.432 25 140.9 0.009
 0.444 25 140.25 0.009
 0.456 25 139.675 0.009
 0.468 26 102.4 0.009
 0.48 27 102.175 0.009
 0.492 27 102.05 0.009
 0.504 27 101.975 0.009
 0.516 27 101.9 0.009
 0.528 28 101.85 0.009
 0.54 28 101.8 0.009
 0.552 27 101.75 0.009
 0.564 9 101.7 0.009
 0.576 7 101.675 0.009
 0.588 7 101.65 0.009
 0.6 6 101.6 0.009
 0 0 600 0.01
 0.012 0 600 0.01
 0.024 0 600 0.01
 0.036 0 600 0.01
 0.048 3 288.25 0.01
 0.06 5 255.4 0.01
 0.072 6 234.975 0.01
 0.084 7 220.625 0.01
 0.096 9 209.85 0.01
 0.108 10 201.425 0.01
 0.12 11 194.6 0.01
 0.132 12 188.95 0.01
 0.144 12 184.175 0.01
 0.156 13 180.075 0.01
 0.168 14 176.5 0.01
 0.18 15 173.35 0.01
 0.192 16 170.55 0.01
 0.204 16 168.025 0.01
 0.216 17 165.775 0.01
 0.228 18 163.7 0.01
 0.24 18 161.8 0.01
 0.252 19 160.075 0.01
 0.264 19 158.45 0.01
 0.276 20 156.95 0.01
 0.288 20 155.55 0.01
 0.3 21 154.25 0.01
 0.312 21 153.025 0.01
 0.324 21 151.875 0.01
 0.336 22 150.775 0.01
 0.348 22 149.75 0.01
 0.36 23 148.75 0.01
 0.372 23 147.825 0.01
 0.384 23 146.95 0.01
 0.396 24 146.1 0.01
 0.408 24 145.3 0.01
 0.42 24 144.525 0.01
 0.432 25 143.8 0.01
 0.444 25 143.1 0.01
 0.456 25 142.45 0.01
 0.468 26 141.85 0.01
 0.48 26 141.35 0.01
